"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","itemA","itemB","categoryA","categoryB","slider_start","correct","feedback","age","ethnicity","gender","race"
"","","","","","html-slider-response","10","2.0.0","74793","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_8","5573","<p style=""font-size: 32px;"">Consider these two events: <strong>feeling pain</strong>
                   <span style=""font-size: 32px"">and <strong>seeing something</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>feeling pain</strong> and <strong>seeing something</strong>?</span></p>","82","","feel pain","see something","bio","cog","50","","","","","",""
"","","","","","html-slider-response","11","2.0.0","79330","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_9","4274","<p style=""font-size: 32px;"">Consider these two events: <strong>sitting down</strong>
                   <span style=""font-size: 32px"">and <strong>seeing something</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>sitting down</strong> and <strong>seeing something</strong>?</span></p>","95","","sit down","see something","act","cog","50","","","","","",""
"","","","","","html-slider-response","12","2.0.0","85256","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_10","5671","<p style=""font-size: 32px;"">Consider these two events: <strong>jumping up and down</strong>
                   <span style=""font-size: 32px"">and <strong>feeling sick</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>jumping up and down</strong> and <strong>feeling sick</strong>?</span></p>","77","","jump up and down","feel sick","act","bio","50","","","","","",""
"","","","","","html-slider-response","13","2.0.0","89705","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_11","4193","<p style=""font-size: 32px;"">Consider these two events: <strong>sitting down</strong>
                   <span style=""font-size: 32px"">and <strong>feeling hungry</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>sitting down</strong> and <strong>feeling hungry</strong>?</span></p>","87","","sit down","feel hungry","act","bio","50","","","","","",""
"","","","","","html-slider-response","14","2.0.0","94316","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_12","4350","<p style=""font-size: 32px;"">Consider these two events: <strong>seeing something</strong>
                   <span style=""font-size: 32px"">and <strong>choosing what to do</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>seeing something</strong> and <strong>choosing what to do</strong>?</span></p>","100","","see something","choose what to do","cog","cog","50","","","","","",""
"","","","","","html-slider-response","15","2.0.0","97261","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_13","2691","<p style=""font-size: 32px;"">Consider these two events: <strong>feeling sick</strong>
                   <span style=""font-size: 32px"">and <strong>feeling tired</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>feeling sick</strong> and <strong>feeling tired</strong>?</span></p>","100","","feel sick","feel tired","bio","bio","50","","","","","",""
"","","","","","html-slider-response","16","2.0.0","100383","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_14","2856","<p style=""font-size: 32px;"">Consider these two events: <strong>taking a walk</strong>
                   <span style=""font-size: 32px"">and <strong>feeling pain</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>taking a walk</strong> and <strong>feeling pain</strong>?</span></p>","90","","take a walk","feel pain","act","bio","50","","","","","",""
"","","","","","html-slider-response","17","2.0.0","105049","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_15","4407","<p style=""font-size: 32px;"">Consider these two events: <strong>seeing something</strong>
                   <span style=""font-size: 32px"">and <strong>jumping up and down</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>seeing something</strong> and <strong>jumping up and down</strong>?</span></p>","84","","see something","jump up and down","cog","act","50","","","","","",""
"","","","","","html-slider-response","18","2.0.0","108710","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","attention_check_1","3405","<p style=""font-size: 32px;"">This is a&nbsp;&nbsp;<strong>check.</strong>&nbsp;&nbsp;Please move the slider all the way to the&nbsp;&nbsp;<strong>left</strong></p>","0","","","","","","50","true","","","","",""
"","","","","","html-slider-response","19","2.0.0","113391","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_16","4423","<p style=""font-size: 32px;"">Consider these two events: <strong>choosing what to do</strong>
                   <span style=""font-size: 32px"">and <strong>thinking about something</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>choosing what to do</strong> and <strong>thinking about something</strong>?</span></p>","100","","choose what to do","think about something","cog","cog","50","","","","","",""
"","","","","","html-slider-response","20","2.0.0","117289","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_17","3642","<p style=""font-size: 32px;"">Consider these two events: <strong>feeling sick</strong>
                   <span style=""font-size: 32px"">and <strong>sitting down</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>feeling sick</strong> and <strong>sitting down</strong>?</span></p>","100","","feel sick","sit down","bio","act","50","","","","","",""
"","","","","","html-slider-response","21","2.0.0","121066","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_18","3514","<p style=""font-size: 32px;"">Consider these two events: <strong>feeling hungry</strong>
                   <span style=""font-size: 32px"">and <strong>thinking about something</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>feeling hungry</strong> and <strong>thinking about something</strong>?</span></p>","100","","feel hungry","think about something","bio","cog","50","","","","","",""
"","","","","","html-slider-response","22","2.0.0","124261","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_19","2939","<p style=""font-size: 32px;"">Consider these two events: <strong>feeling sick</strong>
                   <span style=""font-size: 32px"">and <strong>taking a walk</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>feeling sick</strong> and <strong>taking a walk</strong>?</span></p>","0","","feel sick","take a walk","bio","act","50","","","","","",""
"","","","","","html-slider-response","23","2.0.0","128191","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_20","3669","<p style=""font-size: 32px;"">Consider these two events: <strong>feeling sick</strong>
                   <span style=""font-size: 32px"">and <strong>jumping up and down</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>feeling sick</strong> and <strong>jumping up and down</strong>?</span></p>","89","","feel sick","jump up and down","bio","act","50","","","","","",""
"","","","","","html-slider-response","24","2.0.0","136573","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_21","8123","<p style=""font-size: 32px;"">Consider these two events: <strong>taking a walk</strong>
                   <span style=""font-size: 32px"">and <strong>sitting down</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>taking a walk</strong> and <strong>sitting down</strong>?</span></p>","20","","take a walk","sit down","act","act","50","","","","","",""
"","","","","","html-slider-response","25","2.0.0","139498","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_22","2665","<p style=""font-size: 32px;"">Consider these two events: <strong>feeling pain</strong>
                   <span style=""font-size: 32px"">and <strong>thinking about something</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>feeling pain</strong> and <strong>thinking about something</strong>?</span></p>","88","","feel pain","think about something","bio","cog","50","","","","","",""
"","","","","","html-slider-response","26","2.0.0","142839","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_23","3076","<p style=""font-size: 32px;"">Consider these two events: <strong>taking a walk</strong>
                   <span style=""font-size: 32px"">and <strong>feeling sick</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>taking a walk</strong> and <strong>feeling sick</strong>?</span></p>","4","","take a walk","feel sick","act","bio","50","","","","","",""
"","","","","","html-slider-response","27","2.0.0","148619","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_24","5525","<p style=""font-size: 32px;"">Consider these two events: <strong>feeling tired</strong>
                   <span style=""font-size: 32px"">and <strong>seeing something</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>feeling tired</strong> and <strong>seeing something</strong>?</span></p>","60","","feel tired","see something","bio","cog","50","","","","","",""
"","","","","","html-slider-response","28","2.0.0","156224","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_25","7344","<p style=""font-size: 32px;"">Consider these two events: <strong>remembering something</strong>
                   <span style=""font-size: 32px"">and <strong>jumping up and down</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>remembering something</strong> and <strong>jumping up and down</strong>?</span></p>","69","","remember something","jump up and down","cog","act","50","","","","","",""
"","","","","","html-slider-response","29","2.0.0","159486","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_26","3004","<p style=""font-size: 32px;"">Consider these two events: <strong>kicking something</strong>
                   <span style=""font-size: 32px"">and <strong>hearing something</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>kicking something</strong> and <strong>hearing something</strong>?</span></p>","89","","kick something","hear something","act","cog","50","","","","","",""
"","","","","","html-slider-response","30","2.0.0","165371","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_27","5631","<p style=""font-size: 32px;"">Consider these two events: <strong>reaching for something</strong>
                   <span style=""font-size: 32px"">and <strong>kicking something</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>reaching for something</strong> and <strong>kicking something</strong>?</span></p>","34","","reach for something","kick something","act","act","50","","","","","",""
"","","","","","html-slider-response","31","2.0.0","170054","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_28","4419","<p style=""font-size: 32px;"">Consider these two events: <strong>choosing what to do</strong>
                   <span style=""font-size: 32px"">and <strong>remembering something</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>choosing what to do</strong> and <strong>remembering something</strong>?</span></p>","81","","choose what to do","remember something","cog","cog","50","","","","","",""
"","","","","","html-slider-response","32","2.0.0","174975","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_29","4662","<p style=""font-size: 32px;"">Consider these two events: <strong>feeling pain</strong>
                   <span style=""font-size: 32px"">and <strong>reaching for something</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>feeling pain</strong> and <strong>reaching for something</strong>?</span></p>","100","","feel pain","reach for something","bio","act","50","","","","","",""
"","","","","","html-slider-response","33","2.0.0","178825","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_30","3592","<p style=""font-size: 32px;"">Consider these two events: <strong>feeling sick</strong>
                   <span style=""font-size: 32px"">and <strong>feeling hungry</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>feeling sick</strong> and <strong>feeling hungry</strong>?</span></p>","100","","feel sick","feel hungry","bio","bio","50","","","","","",""
"","","","","","html-slider-response","34","2.0.0","184766","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","attention_check_2","5686","<p style=""font-size: 32px;"">This is a&nbsp;&nbsp;<strong>check.</strong>&nbsp;&nbsp;Please move slider to&nbsp;&nbsp;<strong>'Somewhat similar'</strong></p>","75","","","","","","50","true","","","","",""
"","","","","","html-slider-response","35","2.0.0","188113","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_31","3089","<p style=""font-size: 32px;"">Consider these two events: <strong>choosing what to do</strong>
                   <span style=""font-size: 32px"">and <strong>jumping up and down</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>choosing what to do</strong> and <strong>jumping up and down</strong>?</span></p>","11","","choose what to do","jump up and down","cog","act","50","","","","","",""
"","","","","","html-slider-response","36","2.0.0","191462","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_32","3093","<p style=""font-size: 32px;"">Consider these two events: <strong>sitting down</strong>
                   <span style=""font-size: 32px"">and <strong>reaching for something</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>sitting down</strong> and <strong>reaching for something</strong>?</span></p>","88","","sit down","reach for something","act","act","50","","","","","",""
"","","","","","html-slider-response","37","2.0.0","194489","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_33","2771","<p style=""font-size: 32px;"">Consider these two events: <strong>feeling scared</strong>
                   <span style=""font-size: 32px"">and <strong>jumping up and down</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>feeling scared</strong> and <strong>jumping up and down</strong>?</span></p>","0","","feel scared","jump up and down","bio","act","50","","","","","",""
"","","","","","html-slider-response","38","2.0.0","199820","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_34","5072","<p style=""font-size: 32px;"">Consider these two events: <strong>taking a walk</strong>
                   <span style=""font-size: 32px"">and <strong>feeling scared</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>taking a walk</strong> and <strong>feeling scared</strong>?</span></p>","48","","take a walk","feel scared","act","bio","50","","","","","",""
"","","","","","html-slider-response","39","2.0.0","203851","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_35","3775","<p style=""font-size: 32px;"">Consider these two events: <strong>reaching for something</strong>
                   <span style=""font-size: 32px"">and <strong>feeling sick</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>reaching for something</strong> and <strong>feeling sick</strong>?</span></p>","27","","reach for something","feel sick","act","bio","50","","","","","",""
"","","","","","html-slider-response","40","2.0.0","211427","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_36","7323","<p style=""font-size: 32px;"">Consider these two events: <strong>feeling pain</strong>
                   <span style=""font-size: 32px"">and <strong>feeling sick</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>feeling pain</strong> and <strong>feeling sick</strong>?</span></p>","79","","feel pain","feel sick","bio","bio","50","","","","","",""
"","","","","","html-slider-response","41","2.0.0","214508","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_37","2819","<p style=""font-size: 32px;"">Consider these two events: <strong>feeling hungry</strong>
                   <span style=""font-size: 32px"">and <strong>jumping up and down</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>feeling hungry</strong> and <strong>jumping up and down</strong>?</span></p>","14","","feel hungry","jump up and down","bio","act","50","","","","","",""
"","","","","","html-slider-response","42","2.0.0","217804","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_38","3042","<p style=""font-size: 32px;"">Consider these two events: <strong>kicking something</strong>
                   <span style=""font-size: 32px"">and <strong>seeing something</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>kicking something</strong> and <strong>seeing something</strong>?</span></p>","91","","kick something","see something","act","cog","50","","","","","",""
"","","","","","html-slider-response","43","2.0.0","221659","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_39","3599","<p style=""font-size: 32px;"">Consider these two events: <strong>remembering something</strong>
                   <span style=""font-size: 32px"">and <strong>kicking something</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>remembering something</strong> and <strong>kicking something</strong>?</span></p>","15","","remember something","kick something","cog","act","50","","","","","",""
"","","","","","html-slider-response","44","2.0.0","225184","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_40","3256","<p style=""font-size: 32px;"">Consider these two events: <strong>feeling scared</strong>
                   <span style=""font-size: 32px"">and <strong>taking a walk</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>feeling scared</strong> and <strong>taking a walk</strong>?</span></p>","25","","feel scared","take a walk","bio","act","50","","","","","",""
"","","","","","html-slider-response","45","2.0.0","229247","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_41","3807","<p style=""font-size: 32px;"">Consider these two events: <strong>kicking something</strong>
                   <span style=""font-size: 32px"">and <strong>taking a walk</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>kicking something</strong> and <strong>taking a walk</strong>?</span></p>","82","","kick something","take a walk","act","act","50","","","","","",""
"","","","","","html-slider-response","46","2.0.0","231897","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_42","2385","<p style=""font-size: 32px;"">Consider these two events: <strong>taking a walk</strong>
                   <span style=""font-size: 32px"">and <strong>thinking about something</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>taking a walk</strong> and <strong>thinking about something</strong>?</span></p>","88","","take a walk","think about something","act","cog","50","","","","","",""
"","","","","","html-slider-response","47","2.0.0","239106","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_43","6947","<p style=""font-size: 32px;"">Consider these two events: <strong>feeling pain</strong>
                   <span style=""font-size: 32px"">and <strong>remembering something</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>feeling pain</strong> and <strong>remembering something</strong>?</span></p>","84","","feel pain","remember something","bio","cog","50","","","","","",""
"","","","","","html-slider-response","48","2.0.0","242187","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_44","2818","<p style=""font-size: 32px;"">Consider these two events: <strong>jumping up and down</strong>
                   <span style=""font-size: 32px"">and <strong>thinking about something</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>jumping up and down</strong> and <strong>thinking about something</strong>?</span></p>","0","","jump up and down","think about something","act","cog","50","","","","","",""
"","","","","","html-slider-response","49","2.0.0","247030","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","similarity_trial_45","4580","<p style=""font-size: 32px;"">Consider these two events: <strong>feeling hungry</strong>
                   <span style=""font-size: 32px"">and <strong>remembering something</strong>.</span></p>
                   <p><span style=""font-size:32px"">How similar are <strong>feeling hungry</strong> and <strong>remembering something</strong>?</span></p>","64","","feel hungry","remember something","bio","cog","50","","","","","",""
"","","","","","html-slider-response","50","2.0.0","249549","A692729E73D24CA1921D9B6064D17C62","4f311405-5c5a-4762-bf7f-dcd18470aaeb","c72916f4-d2a6-4645-aec0-536d47cf012a","attention_check_3","2262","<p style=""font-size: 32px;"">This is a&nbsp;&nbsp;<strong>check.</strong>&nbsp;&nbsp;Please move slider all the way to the&nbsp;&nbsp;<strong>right</strong></p>","100","","","","","","50","true","","","","",""
