"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","correct_response_attn","selected_choice","itemB","causal_itemA","similarity_itemA","feedback","age","ethnicity","gender","race"
"","","","","","html-button-response","10","2.0.0","284644","26D1EAD5AA8345A39D70420E97D6C2AC","8858adcd-1fff-4cf9-bf9f-fb1c278ef993","6ff407c9-ec46-4f43-bd76-d89747851545","","3150","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>get sick</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","","<p style=""font-size: 20px;"">The ability to <strong>get tired</strong></p>","get sick","see something","get tired","","","","",""
"","","","","","html-button-response","11","2.0.0","289260","26D1EAD5AA8345A39D70420E97D6C2AC","8858adcd-1fff-4cf9-bf9f-fb1c278ef993","6ff407c9-ec46-4f43-bd76-d89747851545","","4614","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>hear something</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","","<p style=""font-size: 20px;"">The ability to <strong>see something</strong></p>","hear something","take a walk","see something","","","","",""
"","","","","","html-button-response","12","2.0.0","300556","26D1EAD5AA8345A39D70420E97D6C2AC","8858adcd-1fff-4cf9-bf9f-fb1c278ef993","6ff407c9-ec46-4f43-bd76-d89747851545","","11294","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>feel scared</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","","<p style=""font-size: 20px;"">The ability to <strong>see something</strong></p>","feel scared","see something","become hungry","","","","",""
"","","","","","html-button-response","13","2.0.0","310084","26D1EAD5AA8345A39D70420E97D6C2AC","8858adcd-1fff-4cf9-bf9f-fb1c278ef993","6ff407c9-ec46-4f43-bd76-d89747851545","","9527","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>kick something</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","","<p style=""font-size: 20px;"">The ability to <strong>jump up and down</strong></p>","kick something","think about something","jump up and down","","","","",""
"","","","","","html-button-response","14","2.0.0","354932","26D1EAD5AA8345A39D70420E97D6C2AC","8858adcd-1fff-4cf9-bf9f-fb1c278ef993","6ff407c9-ec46-4f43-bd76-d89747851545","","44846","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>sit down</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","","<p style=""font-size: 20px;"">The ability to <strong>jump up and down</strong></p>","sit down","experience pain","jump up and down","","","","",""
"","","","","","html-button-response","15","2.0.0","358684","26D1EAD5AA8345A39D70420E97D6C2AC","8858adcd-1fff-4cf9-bf9f-fb1c278ef993","6ff407c9-ec46-4f43-bd76-d89747851545","","3751","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>become hungry</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","","<p style=""font-size: 20px;"">The ability to <strong>experience pain</strong></p>","become hungry","take a walk","experience pain","","","","",""
"","","","","","html-button-response","16","2.0.0","363644","26D1EAD5AA8345A39D70420E97D6C2AC","8858adcd-1fff-4cf9-bf9f-fb1c278ef993","6ff407c9-ec46-4f43-bd76-d89747851545","","4958","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>jump up and down</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","0","","similarity","","<p style=""font-size: 20px;"">The ability to <strong>sit down</strong></p>","jump up and down","think about something","sit down","","","","",""
"","","","","","html-button-response","17","2.0.0","372692","26D1EAD5AA8345A39D70420E97D6C2AC","8858adcd-1fff-4cf9-bf9f-fb1c278ef993","6ff407c9-ec46-4f43-bd76-d89747851545","","9047","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>choose what to do</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","0","","similarity","","<p style=""font-size: 20px;"">The ability to <strong>remember something</strong></p>","choose what to do","feel scared","remember something","","","","",""
"","","","","","html-button-response","18","2.0.0","378588","26D1EAD5AA8345A39D70420E97D6C2AC","8858adcd-1fff-4cf9-bf9f-fb1c278ef993","6ff407c9-ec46-4f43-bd76-d89747851545","","5894","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>reach for something</strong>. <br>Which of these two other abilities do you think the creature would also have?</p>","1","","similarity","","<p style=""font-size: 20px;"">The ability to <strong>kick something</strong></p>","reach for something","become hungry","kick something","","","","",""
"","","","","","instructions","19","2.0.0","395323","26D1EAD5AA8345A39D70420E97D6C2AC","8858adcd-1fff-4cf9-bf9f-fb1c278ef993","6ff407c9-ec46-4f43-bd76-d89747851545","","16734","","","[{""page_index"":0,""viewing_time"":16734}]","","","","","","","","","","",""
"","","","","","survey-html-form","20","2.0.0","429190","26D1EAD5AA8345A39D70420E97D6C2AC","8858adcd-1fff-4cf9-bf9f-fb1c278ef993","6ff407c9-ec46-4f43-bd76-d89747851545","demographics_survey","33862","","{""feedback"":""nope"",""age"":""22"",""gender"":""Female"",""other_gender"":"""",""race"":""Native Hawaiian/Pacific Islander"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}","","","","","","","","nope","22","Non-Hispanic","Female","Native Hawaiian/Pacific Islander"
