"itemA","itemB","domain_itemA","domain_itemB","mean_causal_dissimilarity","mean_emp_euclidean","euclidean_minus_causal"
"feel scared","experience pain","bio","bio",0.3854,0.308265955072664,-0.0771340449273362
"feel scared","get sick","bio","bio",0.4632,0.382724405513711,-0.0804755944862894
"feel scared","get tired","bio","bio",0.4848,0.411503509033805,-0.073296490966195
"feel scared","hear something","bio","mind",0.4044,0.480924597073153,0.0765245970731533
"feel scared","jump up and down","bio","action",0.4568,0.598060139842506,0.141260139842506
"feel scared","kick something","bio","action",0.3398,0.583447783843204,0.243647783843204
"feel scared","reach for something","bio","action",0.2992,0.614125286266053,0.314925286266053
"feel scared","remember something","bio","mind",0.2714,0.574766552989668,0.303366552989668
"feel scared","see something","bio","mind",0.3968,0.56925610779745,0.17245610779745
"feel scared","sit down","bio","action",0.3256,0.577763913113586,0.252163913113586
"feel scared","take a walk","bio","action",0.403,0.60876818685834,0.20576818685834
"feel scared","think about something","bio","mind",0.1814,0.575120797778324,0.393720797778324
"get sick","become hungry","bio","bio",0.5058,0.388424526565381,-0.117375473434619
"get sick","choose what to do","bio","mind",0.2798,0.536885960582449,0.257085960582449
"get sick","experience pain","bio","bio",0.0814,0.238378850889331,0.156978850889331
"get sick","feel scared","bio","bio",0.1628,0.382724405513711,0.219924405513711
"get sick","get tired","bio","bio",0.1182,0.340738453819964,0.222538453819964
"get sick","hear something","bio","mind",0.5864,0.586728005253293,0.000328005253293018
"get sick","jump up and down","bio","action",0.767,0.582513031048543,-0.184486968951457
"get sick","kick something","bio","action",0.6652,0.602472188069617,-0.0627278119303828
"get sick","reach for something","bio","action",0.3676,0.594594514266034,0.226994514266034
"get sick","remember something","bio","mind",0.432,0.645372798676699,0.213372798676699
"get sick","see something","bio","mind",0.4786,0.656520014300325,0.177920014300325
"get sick","sit down","bio","action",0.146,0.521657207265107,0.375657207265107
"get sick","take a walk","bio","action",0.6564,0.63727874924135,-0.0191212507586502
"get sick","think about something","bio","mind",0.3132,0.668926466609462,0.355726466609462
"get tired","become hungry","bio","bio",0.4224,0.293235113468996,-0.129164886531004
"get tired","choose what to do","bio","mind",0.3002,0.537790476241524,0.237590476241524
"get tired","experience pain","bio","bio",0.442,0.411797389130826,-0.0302026108691738
"get tired","feel scared","bio","bio",0.5086,0.411503509033805,-0.097096490966195
"get tired","get sick","bio","bio",0.4214,0.340738453819964,-0.080661546180036
"get tired","hear something","bio","mind",0.5588,0.499522819254181,-0.0592771807458194
"get tired","jump up and down","bio","action",0.7348,0.556268894956896,-0.178531105043104
"get tired","kick something","bio","action",0.6846,0.589582862731223,-0.0950171372687774
"get tired","reach for something","bio","action",0.479,0.62690052787909,0.14790052787909
"get tired","remember something","bio","mind",0.4616,0.600064391534601,0.138464391534601
"get tired","see something","bio","mind",0.5178,0.56323384882147,0.0454338488214705
"get tired","sit down","bio","action",0.097,0.459063383963962,0.362063383963962
"get tired","take a walk","bio","action",0.616,0.560842729679717,-0.0551572703202834
"get tired","think about something","bio","mind",0.3576,0.622419142829214,0.264819142829214
"hear something","become hungry","mind","bio",0.5432,0.54432344367892,0.00112344367892037
"hear something","choose what to do","mind","mind",0.179,0.524251620545248,0.345251620545248
"hear something","experience pain","mind","bio",0.3866,0.573507137497542,0.186907137497542
"hear something","feel scared","mind","bio",0.1102,0.480924597073153,0.370724597073153
"hear something","get sick","mind","bio",0.6056,0.586728005253293,-0.018871994746707
"hear something","get tired","mind","bio",0.5958,0.499522819254181,-0.0962771807458194
"hear something","jump up and down","mind","action",0.3158,0.602045027518972,0.286245027518972
"hear something","kick something","mind","action",0.4108,0.517996265266876,0.107196265266876
"hear something","reach for something","mind","action",0.2668,0.467867355291383,0.201067355291383
"hear something","remember something","mind","mind",0.1642,0.370298210992982,0.206098210992982
"hear something","see something","mind","mind",0.4394,0.203152377143195,-0.236247622856805
"hear something","sit down","mind","action",0.3858,0.629420773322987,0.243620773322987
"hear something","take a walk","mind","action",0.4214,0.611037866266411,0.189637866266411
"hear something","think about something","mind","mind",0.1378,0.394674405230511,0.256874405230511
"jump up and down","become hungry","action","bio",0.29,0.580182434554091,0.290182434554091
"jump up and down","choose what to do","action","mind",0.5038,0.473119971313766,-0.0306800286862343
"jump up and down","experience pain","action","bio",0.2452,0.578977308426809,0.333777308426809
"jump up and down","feel scared","action","bio",0.633,0.598060139842506,-0.034939860157494
"jump up and down","get sick","action","bio",0.3838,0.582513031048543,0.198713031048543
"jump up and down","get tired","action","bio",0.1068,0.556268894956896,0.449468894956896
"jump up and down","hear something","action","mind",0.4444,0.602045027518972,0.157645027518972
"jump up and down","kick something","action","action",0.5876,0.273284752579762,-0.314315247420238
"jump up and down","reach for something","action","action",0.5596,0.394141409044488,-0.165458590955512
"jump up and down","remember something","action","mind",0.5584,0.659215144934383,0.100815144934383
"jump up and down","see something","action","mind",0.4392,0.605894883584885,0.166694883584885
"jump up and down","sit down","action","action",0.555,0.353817516690206,-0.201182483309794
"jump up and down","take a walk","action","action",0.6872,0.266495803794806,-0.420704196205194
"jump up and down","think about something","action","mind",0.4426,0.678663475660925,0.236063475660925
"kick something","become hungry","action","bio",0.5952,0.634243474936634,0.0390434749366337
"kick something","choose what to do","action","mind",0.4614,0.503132301936836,0.0417323019368359
"kick something","experience pain","action","bio",0.118,0.580241406449145,0.462241406449145
"kick something","feel scared","action","bio",0.493,0.583447783843204,0.0904477838432038
"kick something","get sick","action","bio",0.6876,0.602472188069617,-0.0851278119303828
"kick something","get tired","action","bio",0.263,0.589582862731223,0.326582862731223
"kick something","hear something","action","mind",0.331,0.517996265266876,0.186996265266876
"kick something","jump up and down","action","action",0.4998,0.273284752579762,-0.226515247420238
"kick something","reach for something","action","action",0.6116,0.397471392395537,-0.214128607604464
"kick something","remember something","action","mind",0.4762,0.659174357998835,0.182974357998835
"kick something","see something","action","mind",0.5024,0.532363580352703,0.0299635803527032
"kick something","sit down","action","action",0.4848,0.414535830089356,-0.0702641699106437
"kick something","take a walk","action","action",0.6036,0.309218762088692,-0.294381237911308
"kick something","think about something","action","mind",0.4378,0.639416761174862,0.201616761174862
"reach for something","become hungry","action","bio",0.583,0.593413456637988,0.0104134566379879
"reach for something","choose what to do","action","mind",0.428,0.431116033621402,0.00311603362140178
"reach for something","experience pain","action","bio",0.271,0.578512133115316,0.307512133115316
"reach for something","feel scared","action","bio",0.5014,0.614125286266053,0.112725286266053
"reach for something","get sick","action","bio",0.6764,0.594594514266034,-0.0818054857339661
"reach for something","get tired","action","bio",0.4062,0.62690052787909,0.22070052787909
"reach for something","hear something","action","mind",0.6094,0.467867355291383,-0.141532644708617
"reach for something","jump up and down","action","action",0.527,0.394141409044488,-0.132858590955512
"reach for something","kick something","action","action",0.6242,0.397471392395537,-0.226728607604463
"reach for something","remember something","action","mind",0.4108,0.49089031503983,0.0800903150398299
"reach for something","see something","action","mind",0.437,0.440230314307415,0.00323031430741538
"reach for something","sit down","action","action",0.6138,0.452823300616575,-0.160976699383425
"reach for something","take a walk","action","action",0.6812,0.460803516623923,-0.220396483376077
"reach for something","think about something","action","mind",0.361,0.491370864379484,0.130370864379484
"remember something","become hungry","mind","bio",0.3708,0.561426324199988,0.190626324199988
"remember something","choose what to do","mind","mind",0.1472,0.3438132095134,0.1966132095134
"remember something","experience pain","mind","bio",0.361,0.600032610492827,0.239032610492827
"remember something","feel scared","mind","bio",0.1718,0.574766552989668,0.402966552989668
"remember something","get sick","mind","bio",0.5442,0.645372798676699,0.101172798676699
"remember something","get tired","mind","bio",0.531,0.600064391534601,0.0690643915346006
"remember something","hear something","mind","mind",0.5228,0.370298210992982,-0.152501789007018
"remember something","jump up and down","mind","action",0.3962,0.659215144934383,0.263015144934383
"remember something","kick something","mind","action",0.4378,0.659174357998835,0.221374357998835
"remember something","reach for something","mind","action",0.2974,0.49089031503983,0.19349031503983
"remember something","see something","mind","mind",0.4216,0.395932526580741,-0.025667473419259
"remember something","sit down","mind","action",0.3226,0.648254534002723,0.325654534002723
"remember something","take a walk","mind","action",0.3004,0.640018357567654,0.339618357567654
"remember something","think about something","mind","mind",0.079,0.133836950925328,0.0548369509253281
"see something","become hungry","mind","bio",0.251,0.595854122956788,0.344854122956788
"see something","choose what to do","mind","mind",0.1766,0.488578027726754,0.311978027726754
"see something","experience pain","mind","bio",0.402,0.62908669072944,0.22708669072944
"see something","feel scared","mind","bio",0.1148,0.56925610779745,0.45445610779745
"see something","get sick","mind","bio",0.3904,0.656520014300325,0.266120014300325
"see something","get tired","mind","bio",0.5238,0.56323384882147,0.0394338488214705
"see something","hear something","mind","mind",0.4146,0.203152377143195,-0.211447622856805
"see something","jump up and down","mind","action",0.3148,0.605894883584885,0.291094883584885
"see something","kick something","mind","action",0.3568,0.532363580352703,0.175563580352703
"see something","reach for something","mind","action",0.1866,0.440230314307415,0.253630314307415
"see something","remember something","mind","mind",0.1126,0.395932526580741,0.283332526580741
"see something","sit down","mind","action",0.302,0.615510191618202,0.313510191618202
"see something","take a walk","mind","action",0.3272,0.624295988362361,0.297095988362361
"see something","think about something","mind","mind",0.1212,0.350635354249811,0.229435354249811
"sit down","become hungry","action","bio",0.6368,0.513011883470862,-0.123788116529138
"sit down","choose what to do","action","mind",0.417,0.462667922980866,0.0456679229808665
"sit down","experience pain","action","bio",0.4014,0.583532275536793,0.182132275536793
"sit down","feel scared","action","bio",0.6422,0.577763913113586,-0.0644360868864139
"sit down","get sick","action","bio",0.6752,0.521657207265107,-0.153542792734893
"sit down","get tired","action","bio",0.5158,0.459063383963962,-0.0567366160360383
"sit down","hear something","action","mind",0.5182,0.629420773322987,0.111220773322987
"sit down","jump up and down","action","action",0.8418,0.353817516690206,-0.487982483309794
"sit down","kick something","action","action",0.7204,0.414535830089356,-0.305864169910644
"sit down","reach for something","action","action",0.5102,0.452823300616575,-0.0573766993834254
"sit down","remember something","action","mind",0.4088,0.648254534002723,0.239454534002723
"sit down","see something","action","mind",0.5054,0.615510191618202,0.110110191618202
"sit down","take a walk","action","action",0.7564,0.381499177304574,-0.374900822695426
"sit down","think about something","action","mind",0.288,0.644839411956064,0.356839411956064
"take a walk","become hungry","action","bio",0.1848,0.596913624105401,0.412113624105401
"take a walk","choose what to do","action","mind",0.3732,0.435143355927811,0.0619433559278105
"take a walk","experience pain","action","bio",0.2758,0.610350694956424,0.334550694956424
"take a walk","feel scared","action","bio",0.426,0.60876818685834,0.18276818685834
"take a walk","get sick","action","bio",0.5486,0.63727874924135,0.0886787492413498
"take a walk","get tired","action","bio",0.1252,0.560842729679717,0.435642729679717
"take a walk","hear something","action","mind",0.2706,0.611037866266411,0.340437866266411
"take a walk","jump up and down","action","action",0.649,0.266495803794806,-0.382504196205194
"take a walk","kick something","action","action",0.6036,0.309218762088692,-0.294381237911308
"take a walk","reach for something","action","action",0.557,0.460803516623923,-0.0961964833760773
"take a walk","remember something","action","mind",0.275,0.640018357567654,0.365018357567654
"take a walk","see something","action","mind",0.2418,0.624295988362361,0.382495988362361
"take a walk","sit down","action","action",0.5412,0.381499177304574,-0.159700822695426
"take a walk","think about something","action","mind",0.236,0.635317251575883,0.399317251575883
"think about something","become hungry","mind","bio",0.3102,0.572926844872196,0.262726844872196
"think about something","choose what to do","mind","mind",0.1304,0.347509272469103,0.217109272469103
"think about something","experience pain","mind","bio",0.387,0.628453786693097,0.241453786693097
"think about something","feel scared","mind","bio",0.1672,0.575120797778324,0.407920797778324
"think about something","get sick","mind","bio",0.5006,0.668926466609462,0.168326466609462
"think about something","get tired","mind","bio",0.3616,0.622419142829214,0.260819142829214
"think about something","hear something","mind","mind",0.5292,0.394674405230511,-0.134525594769489
"think about something","jump up and down","mind","action",0.3398,0.678663475660925,0.338863475660925
"think about something","kick something","mind","action",0.37,0.639416761174862,0.269416761174862
"think about something","reach for something","mind","action",0.2688,0.491370864379484,0.222570864379484
"think about something","remember something","mind","mind",0.0904,0.133836950925328,0.0434369509253281
"think about something","see something","mind","mind",0.45,0.350635354249811,-0.0993646457501887
"think about something","sit down","mind","action",0.2978,0.644839411956064,0.347039411956064
"think about something","take a walk","mind","action",0.2588,0.635317251575883,0.376517251575884
